Scanning code references (one pass)...
Files: 2314
Code refs scanned.


=== USER (4 tables) ===
  lead_custom_field_values                           1 rows  Code:2
  lead_file_extractions                              1 rows  Code:1

=== DEAL (9 tables) ===
  pipeline_stages                                    7 rows  Code:7
  sales_pipeline_stages                              7 rows  Code:7
  deal_history                                       6 rows  Code:5
  deal_activities                                    5 rows  Code:3
  pipeline_activities                                5 rows  Code:1
  deals                                              3 rows  Code:44
  pipeline_analytics                                 3 rows  Code:2
  pipeline_filters                                   3 rows  Code:1
  pipeline_movement_history                          1 rows  Code:4

=== COMMISSION_PAYOUT (25 tables) ===
  mlm_commission_ledger                             84 rows  Code:71
  commission_preferences                            36 rows  Code:2
  agent_commission_rates                            21 rows  Code:4
  commission_calculation_rules                      10 rows  Code:5
  commissions                                        9 rows  Code:60
  mlm_commissions                                    8 rows  Code:15
  mlm_commission_levels                              7 rows  Code:4
  associate_commission_calculations                  6 rows  Code:3
  revenue_commission_daily                           6 rows  Code:5
  associate_commission_structure                     5 rows  Code:4
  mlm_commission_plans                               5 rows  Code:10
  mlm_payouts                                        5 rows  Code:6
  payouts                                            5 rows  Code:3
  salary_payouts                                     5 rows  Code:5
  telecaller_commissions                             5 rows  Code:5
  telecaller_commission_rules                        4 rows  Code:7
  commission_payouts                                 3 rows  Code:18
  farmer_commission_structures                       3 rows  Code:1
  farmer_commissions                                 3 rows  Code:4
  hybrid_commission_records                          3 rows  Code:4
  mlm_commission_agreements                          3 rows  Code:5
  resale_commissions                                 3 rows  Code:0
  traditional_commissions                            3 rows  Code:1
  commission_rules                                   1 rows  Code:1
  hybrid_commission_plans                            1 rows  Code:1

=== MLM (15 tables) ===
  mlm_profiles                                      14 rows  Code:67
  mlm_levels                                        10 rows  Code:9
  network_tree                                       9 rows  Code:45
  mlm_network_tree                                   8 rows  Code:28
  mlm_associates                                     7 rows  Code:19
  mlm_rank_rates                                     7 rows  Code:2
  mlm_settings                                       6 rows  Code:2
  referrals                                          6 rows  Code:4
  mlm_import_audit                                   3 rows  Code:1
  referral_rewards                                   1 rows  Code:3
  sponsor_running_no                                 1 rows  Code:0
  mlm_earnings                                       0 rows  Code:1
  mlm_notification_log                               0 rows  Code:1
  mlm_points                                         0 rows  Code:2
  mlm_referrals                                      0 rows  Code:8

=== WALLET (9 tables) ===
  points_rules                                    5980 rows  Code:3
  rewards_catalog                                 5361 rows  Code:12
  reward_history                                     5 rows  Code:1
  rank_achievements                                  4 rows  Code:1
  reward_redemptions                                 3 rows  Code:6
  gamification_points                                1 rows  Code:2
  loyalty_points                                     1 rows  Code:11
  partner_rewards                                    1 rows  Code:0
  user_points                                        1 rows  Code:8

=== NOTIFICATION (18 tables) ===
  notification_templates                            64 rows  Code:3
  notifications                                     52 rows  Code:68
  notification_settings                             31 rows  Code:2
  notification_feed                                 17 rows  Code:12
  notification_queue                                12 rows  Code:6
  whatsapp_templates                                 4 rows  Code:9
  email_queue                                        3 rows  Code:19
  notification_campaigns                             3 rows  Code:1
  notifications_unified                              3 rows  Code:33
  realtime_notifications                             3 rows  Code:0
  sms_queue                                          3 rows  Code:8
  user_notification_preferences                      3 rows  Code:5
  whatsapp_messages                                  3 rows  Code:16
  whatsapp_campaigns                                 2 rows  Code:5
  push_notifications                                 1 rows  Code:0
  push_subscriptions                                 1 rows  Code:6
  whatsapp_automation_config                         1 rows  Code:0
  whatsapp_lead_shares                               1 rows  Code:0

=== AI_CHAT (30 tables) ===
  ai_tools_directory                              1000 rows  Code:3
  ai_workflows                                     701 rows  Code:4
  ai_audit_log                                     203 rows  Code:1
  ai_api_logs                                      133 rows  Code:8
  ai_implementation_guides                         100 rows  Code:2
  ai_user_suggestions                               99 rows  Code:2
  ai_ecosystem_tools                                82 rows  Code:2
  ai_agent_logs                                     31 rows  Code:5
  ai_knowledge_base                                 31 rows  Code:11
  ai_conversations                                  27 rows  Code:10
  ai_knowledge_graph                                15 rows  Code:3
  ai_recommendations_test                           14 rows  Code:0
  ai_configuration                                   8 rows  Code:0
  ai_agents                                          7 rows  Code:9
  ai_context_memory                                  5 rows  Code:3
  ai_call_extracted_leads                            3 rows  Code:16
  ai_call_logs                                       3 rows  Code:3
  ai_call_scripts                                    3 rows  Code:8
  ai_call_sessions                                   3 rows  Code:32
  ai_calling_agents                                  3 rows  Code:32
  ai_calling_schedule                                3 rows  Code:42
  ai_lead_scores                                     3 rows  Code:5
  ai_recommendations                                 3 rows  Code:2
  chat_messages                                      3 rows  Code:9
  ai_chatbot_interactions                            1 rows  Code:9
  ai_jobs                                            1 rows  Code:6
  ai_learning_progress                               1 rows  Code:2
  ai_settings                                        1 rows  Code:10
  ai_user_interactions                               1 rows  Code:4
  ai_user_preferences                                1 rows  Code:5

=== VOICE (3 tables) ===
  telecaller_daily_tasks                             3 rows  Code:4
  telecaller_performance                             3 rows  Code:4
  call_logs                                          1 rows  Code:11

=== HRM (7 tables) ===
  departments                                        8 rows  Code:17
  team_members                                       8 rows  Code:8
  company_employees                                  3 rows  Code:1
  job_applications                                   3 rows  Code:32
  team                                               3 rows  Code:16
  department_assignments                             1 rows  Code:1
  department_budgets                                 1 rows  Code:5

=== PAYROLL (19 tables) ===
  attendance_settings                               11 rows  Code:0
  employee_attendance                               10 rows  Code:19
  employee_leave_balances                            7 rows  Code:5
  leave_types                                        7 rows  Code:13
  salary_plans                                       5 rows  Code:3
  shift_types                                        5 rows  Code:30
  salary_contracts                                   4 rows  Code:5
  salary_history                                     4 rows  Code:3
  salary_records                                     4 rows  Code:3
  employee_leaves                                    3 rows  Code:19
  employee_payroll                                   3 rows  Code:10
  employee_payrolls                                  3 rows  Code:2
  employee_salary_structure                          3 rows  Code:14
  employee_shifts                                    3 rows  Code:28
  payroll_entries                                    3 rows  Code:3
  payroll_runs                                       3 rows  Code:6
  shift_schedules                                    3 rows  Code:5
  salary_tracker                                     2 rows  Code:11
  salary_structures                                  1 rows  Code:12

=== CAMPAIGN (11 tables) ===
  popups                                             9 rows  Code:1
  campaign_deliveries                                8 rows  Code:5
  ad_slots                                           3 rows  Code:9
  campaign_members                                   3 rows  Code:2
  campaigns                                          3 rows  Code:22
  marketing_analytics                                3 rows  Code:4
  marketing_automations                              3 rows  Code:1
  marketing_leads                                    3 rows  Code:22
  marketing_strategies                               3 rows  Code:6
  marketing_campaigns                                1 rows  Code:8
  popup_dismissals                                   1 rows  Code:1

=== CONTENT (22 tables) ===
  analytics_page_views                              35 rows  Code:7
  newsletter_subscribers                            10 rows  Code:5
  testimonials                                      10 rows  Code:14
  faqs                                               6 rows  Code:8
  blog_categories                                    5 rows  Code:0
  blog_posts                                         5 rows  Code:7
  blogs                                              5 rows  Code:0
  faq_categories                                     5 rows  Code:0
  feedback                                           5 rows  Code:2
  news                                               5 rows  Code:25
  site_content                                       5 rows  Code:0
  agent_reviews                                      4 rows  Code:2
  newsletter_schedules                               4 rows  Code:2
  document_reviews                                   3 rows  Code:3
  feedback_tickets                                   3 rows  Code:2
  performance_feedback                               3 rows  Code:1
  performance_reviews                                3 rows  Code:7
  legal_pages                                        2 rows  Code:8
  content_backups                                    1 rows  Code:0
  content_translations                               1 rows  Code:0
  knowledge_base                                     1 rows  Code:7
  page_templates                                     1 rows  Code:0

=== MEDIA (8 tables) ===
  document_gallery                                   8 rows  Code:4
  gallery                                            5 rows  Code:7
  image_categories                                   5 rows  Code:0
  media                                              3 rows  Code:57
  project_gallery                                    3 rows  Code:0
  social_media_links                                 3 rows  Code:0
  gallery_images                                     1 rows  Code:5
  media_library                                      1 rows  Code:33

=== SUPPORT (5 tables) ===
  support_tickets                                    6 rows  Code:22
  ticket_replies                                     5 rows  Code:0
  farmer_support_requests                            3 rows  Code:6
  support_ticket_replies                             3 rows  Code:4
  support_ticket_responses                           3 rows  Code:2

=== LOCATION (4 tables) ===
  pincodes                                       10007 rows  Code:2
  districts                                         63 rows  Code:76
  states                                            16 rows  Code:79
  real_estate_properties                             5 rows  Code:7

=== PROJECT (3 tables) ===
  project_images                                     4 rows  Code:1
  project_enquiries                                  3 rows  Code:0
  projects                                           2 rows  Code:63

=== FARMER (16 tables) ===
  farmers                                            9 rows  Code:30
  farmer_activities                                  3 rows  Code:3
  farmer_agreements                                  3 rows  Code:15
  farmer_documents                                   3 rows  Code:5
  farmer_loans                                       3 rows  Code:16
  land_acquisitions                                  3 rows  Code:18
  land_management_activities                         3 rows  Code:2
  land_purchases                                     3 rows  Code:6
  land_records                                       3 rows  Code:21
  farmer_land_holdings                               2 rows  Code:26
  farmer_profiles                                    2 rows  Code:25
  land_projects                                      2 rows  Code:2
  acquisition_stakeholders                           1 rows  Code:2
  acquisition_timeline                               1 rows  Code:1
  farmers_legacy                                     1 rows  Code:2
  kisaan_land_management                             1 rows  Code:6

=== AUDIT (40 tables) ===
  audit_log                                         28 rows  Code:17
  error_logs                                        14 rows  Code:3
  mcp_logs                                          12 rows  Code:0
