2025-05-01 23:49:04: Starting comprehensive duplicate file cleanup
2025-05-01 23:51:20: Removed duplicate: C:\xampp\htdocs\apsdreamhomefinal\google_auth.php (Backup: C:\xampp\htdocs\apsdreamhomefinal/backups/duplicate_files_2025-05-01_23-49-04\google_auth.php)
2025-05-01 23:51:20: Removed duplicate: C:\xampp\htdocs\apsdreamhomefinal\google_auth_associate.php (Backup: C:\xampp\htdocs\apsdreamhomefinal/backups/duplicate_files_2025-05-01_23-49-04\google_auth_associate.php)
2025-05-01 23:51:20: Removed duplicate: C:\xampp\htdocs\apsdreamhomefinal\google_callback.php (Backup: C:\xampp\htdocs\apsdreamhomefinal/backups/duplicate_files_2025-05-01_23-49-04\google_callback.php)
2025-05-01 23:51:20: Removed duplicate: C:\xampp\htdocs\apsdreamhomefinal\google_callback_associate.php (Backup: C:\xampp\htdocs\apsdreamhomefinal/backups/duplicate_files_2025-05-01_23-49-04\google_callback_associate.php)
2025-05-01 23:51:20: Removed duplicate: C:\xampp\htdocs\apsdreamhomefinal\images\banner\ban5.jpg (Backup: C:\xampp\htdocs\apsdreamhomefinal/backups/duplicate_files_2025-05-01_23-49-04\images\banner\ban5.jpg)
2025-05-01 23:51:20: Removed duplicate: C:\xampp\htdocs\apsdreamhomefinal\images\banner\ban6.jpg (Backup: C:\xampp\htdocs\apsdreamhomefinal/backups/duplicate_files_2025-05-01_23-49-04\images\banner\ban6.jpg)
2025-05-01 23:51:20: Removed duplicate: C:\xampp\htdocs\apsdreamhomefinal\images\banner\ban3.jpg (Backup: C:\xampp\htdocs\apsdreamhomefinal/backups/duplicate_files_2025-05-01_23-49-04\images\banner\ban3.jpg)
2025-05-01 23:51:20: Removed duplicate: C:\xampp\htdocs\apsdreamhomefinal\images\bg-image\pattern\bg-1.jpg (Backup: C:\xampp\htdocs\apsdreamhomefinal/backups/duplicate_files_2025-05-01_23-49-04\images\bg-image\pattern\bg-1.jpg)
2025-05-01 23:51:20: Removed duplicate: C:\xampp\htdocs\apsdreamhomefinal\images\banner\ban1.jpg (Backup: C:\xampp\htdocs\apsdreamhomefinal/backups/duplicate_files_2025-05-01_23-49-04\images\banner\ban1.jpg)
2025-05-01 23:51:20: Removed duplicate: C:\xampp\htdocs\apsdreamhomefinal\images\bg-image\pattern\bg-2.jpg (Backup: C:\xampp\htdocs\apsdreamhomefinal/backups/duplicate_files_2025-05-01_23-49-04\images\bg-image\pattern\bg-2.jpg)
2025-05-01 23:51:20: Removed duplicate: C:\xampp\htdocs\apsdreamhomefinal\assets\images\property-bg.jpg (Backup: C:\xampp\htdocs\apsdreamhomefinal/backups/duplicate_files_2025-05-01_23-49-04\assets\images\property-bg.jpg)
2025-05-01 23:51:20: Removed duplicate: C:\xampp\htdocs\apsdreamhomefinal\images\bg-image\pattern\bg-3.jpg (Backup: C:\xampp\htdocs\apsdreamhomefinal/backups/duplicate_files_2025-05-01_23-49-04\images\bg-image\pattern\bg-3.jpg)
2025-05-01 23:51:20: Removed duplicate: C:\xampp\htdocs\apsdreamhomefinal\assets\images\hero\luxury-home-3.jpg (Backup: C:\xampp\htdocs\apsdreamhomefinal/backups/duplicate_files_2025-05-01_23-49-04\assets\images\hero\luxury-home-3.jpg)
2025-05-01 23:51:20: Removed duplicate: C:\xampp\htdocs\apsdreamhomefinal\images\legal\coi.jpg (Backup: C:\xampp\htdocs\apsdreamhomefinal/backups/duplicate_files_2025-05-01_23-49-04\images\legal\coi.jpg)
2025-05-01 23:51:20: Removed duplicate: C:\xampp\htdocs\apsdreamhomefinal\images\mapsuryoday.pdf (Backup: C:\xampp\htdocs\apsdreamhomefinal/backups/duplicate_files_2025-05-01_23-49-04\images\mapsuryoday.pdf)
2025-05-01 23:51:20: Removed duplicate: C:\xampp\htdocs\apsdreamhomefinal\images\site_photo\gorakhpur\APSSuryodayaLayout.pdf (Backup: C:\xampp\htdocs\apsdreamhomefinal/backups/duplicate_files_2025-05-01_23-49-04\images\site_photo\gorakhpur\APSSuryodayaLayout.pdf)
2025-05-01 23:51:20: Removed duplicate: C:\xampp\htdocs\apsdreamhomefinal\assets\images\site_photo\gorakhpur\coi.pdf (Backup: C:\xampp\htdocs\apsdreamhomefinal/backups/duplicate_files_2025-05-01_23-49-04\assets\images\site_photo\gorakhpur\coi.pdf)
2025-05-01 23:51:20: Removed duplicate: C:\xampp\htdocs\apsdreamhomefinal\images\site_photo\gorakhpur\CERTIFICATE OF INCORPORATION.PDF (Backup: C:\xampp\htdocs\apsdreamhomefinal/backups/duplicate_files_2025-05-01_23-49-04\images\site_photo\gorakhpur\CERTIFICATE OF INCORPORATION.PDF)
2025-05-01 23:51:20: Removed duplicate: C:\xampp\htdocs\apsdreamhomefinal\images\site_photo\gorakhpur\coi.pdf (Backup: C:\xampp\htdocs\apsdreamhomefinal/backups/duplicate_files_2025-05-01_23-49-04\images\site_photo\gorakhpur\coi.pdf)
2025-05-01 23:51:20: Removed duplicate: C:\xampp\htdocs\apsdreamhomefinal\images\site_photo\gorakhpur\motiram.jpg (Backup: C:\xampp\htdocs\apsdreamhomefinal/backups/duplicate_files_2025-05-01_23-49-04\images\site_photo\gorakhpur\motiram.jpg)
2025-05-01 23:51:20: Removed duplicate: C:\xampp\htdocs\apsdreamhomefinal\images\site_photo\gorakhpur\suryoday_colony_map.png (Backup: C:\xampp\htdocs\apsdreamhomefinal/backups/duplicate_files_2025-05-01_23-49-04\images\site_photo\gorakhpur\suryoday_colony_map.png)
2025-05-01 23:51:20: Removed duplicate: C:\xampp\htdocs\apsdreamhomefinal\template\suryoday_colony_map.png (Backup: C:\xampp\htdocs\apsdreamhomefinal/backups/duplicate_files_2025-05-01_23-49-04\template\suryoday_colony_map.png)
2025-05-01 23:51:20: Removed duplicate: C:\xampp\htdocs\apsdreamhomefinal\js\tinymce\plugins\codesample\css\prism.css (Backup: C:\xampp\htdocs\apsdreamhomefinal/backups/duplicate_files_2025-05-01_23-49-04\js\tinymce\plugins\codesample\css\prism.css)
2025-05-01 23:51:20: Removed duplicate: C:\xampp\htdocs\apsdreamhomefinal\js\tinymce\plugins\emoticons\img\smiley-cool.gif (Backup: C:\xampp\htdocs\apsdreamhomefinal/backups/duplicate_files_2025-05-01_23-49-04\js\tinymce\plugins\emoticons\img\smiley-cool.gif)
2025-05-01 23:51:20: Removed duplicate: C:\xampp\htdocs\apsdreamhomefinal\js\tinymce\plugins\emoticons\img\smiley-cry.gif (Backup: C:\xampp\htdocs\apsdreamhomefinal/backups/duplicate_files_2025-05-01_23-49-04\js\tinymce\plugins\emoticons\img\smiley-cry.gif)
2025-05-01 23:51:20: Removed duplicate: C:\xampp\htdocs\apsdreamhomefinal\js\tinymce\plugins\emoticons\img\smiley-embarassed.gif (Backup: C:\xampp\htdocs\apsdreamhomefinal/backups/duplicate_files_2025-05-01_23-49-04\js\tinymce\plugins\emoticons\img\smiley-embarassed.gif)
2025-05-01 23:51:20: Removed duplicate: C:\xampp\htdocs\apsdreamhomefinal\js\tinymce\plugins\emoticons\img\smiley-foot-in-mouth.gif (Backup: C:\xampp\htdocs\apsdreamhomefinal/backups/duplicate_files_2025-05-01_23-49-04\js\tinymce\plugins\emoticons\img\smiley-foot-in-mouth.gif)
2025-05-01 23:51:20: Removed duplicate: C:\xampp\htdocs\apsdreamhomefinal\js\tinymce\plugins\emoticons\img\smiley-frown.gif (Backup: C:\xampp\htdocs\apsdreamhomefinal/backups/duplicate_files_2025-05-01_23-49-04\js\tinymce\plugins\emoticons\img\smiley-frown.gif)
2025-05-01 23:51:20: Removed duplicate: C:\xampp\htdocs\apsdreamhomefinal\js\tinymce\plugins\emoticons\img\smiley-innocent.gif (Backup: C:\xampp\htdocs\apsdreamhomefinal/backups/duplicate_files_2025-05-01_23-49-04\js\tinymce\plugins\emoticons\img\smiley-innocent.gif)
2025-05-01 23:51:20: Removed duplicate: C:\xampp\htdocs\apsdreamhomefinal\js\tinymce\plugins\emoticons\img\smiley-kiss.gif (Backup: C:\xampp\htdocs\apsdreamhomefinal/backups/duplicate_files_2025-05-01_23-49-04\js\tinymce\plugins\emoticons\img\smiley-kiss.gif)
2025-05-01 23:51:20: Removed duplicate: C:\xampp\htdocs\apsdreamhomefinal\js\tinymce\plugins\emoticons\img\smiley-laughing.gif (Backup: C:\xampp\htdocs\apsdreamhomefinal/backups/duplicate_files_2025-05-01_23-49-04\js\tinymce\plugins\emoticons\img\smiley-laughing.gif)
2025-05-01 23:51:20: Removed duplicate: C:\xampp\htdocs\apsdreamhomefinal\js\tinymce\plugins\emoticons\img\smiley-money-mouth.gif (Backup: C:\xampp\htdocs\apsdreamhomefinal/backups/duplicate_files_2025-05-01_23-49-04\js\tinymce\plugins\emoticons\img\smiley-money-mouth.gif)
2025-05-01 23:51:20: Removed duplicate: C:\xampp\htdocs\apsdreamhomefinal\js\tinymce\plugins\emoticons\img\smiley-sealed.gif (Backup: C:\xampp\htdocs\apsdreamhomefinal/backups/duplicate_files_2025-05-01_23-49-04\js\tinymce\plugins\emoticons\img\smiley-sealed.gif)
